Filename,Pruning_Layer,Tokens_Kept,Variant_ID,church outdoor,shop,monestary,chapel,library,building,road,street
Church outdoor.jpg_2_25_i,2,25,1,0.6206427216529846,0.00047379403258673847,0.001845564809627831,0.3229970335960388,0.012709997594356537,0.036922454833984375,0.0001738369173835963,0.004234503023326397
Church outdoor.jpg_2_25_i,2,25,2,0.6493443846702576,0.0010914768790826201,0.003788014641031623,0.30412396788597107,0.00372504279948771,0.02916763909161091,0.0002201161696575582,0.008539370261132717
Church outdoor.jpg_2_25_i,2,25,3,0.627892792224884,0.002334240823984146,0.03289135545492172,0.25459226965904236,0.0038306948263198137,0.03190384805202484,0.0012258169008418918,0.045329026877880096
Church outdoor.jpg_2_25_i,2,25,4,0.5733857750892639,0.006491855252534151,0.011111810803413391,0.2637211084365845,0.01036226749420166,0.0844472274184227,0.0006908747600391507,0.04978914186358452
Church outdoor.jpg_2_25_j,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_j,2,25,1,0.6503742933273315,0.0005265065701678395,0.0024064306635409594,0.2501731514930725,0.014416241087019444,0.06761181354522705,0.00040545675437897444,0.01408621110022068
Church outdoor.jpg_2_25_j,2,25,2,0.5363436937332153,0.0017332556890323758,0.010517063550651073,0.39791369438171387,0.007609303575009108,0.0334860123693943,0.0004065831599291414,0.011990401893854141
Church outdoor.jpg_2_25_j,2,25,3,0.5337703227996826,0.004576595034450293,0.014320101588964462,0.3276074230670929,0.009343343786895275,0.07295701652765274,0.00101103272754699,0.0364142581820488
Church outdoor.jpg_2_25_j,2,25,4,0.596819281578064,0.0023149040061980486,0.015778005123138428,0.2855547070503235,0.005907471291720867,0.053830958902835846,0.0007261309074237943,0.039068594574928284
Church outdoor.jpg_6_25_a,6,25,0,0.5897164344787598,0.006033540703356266,0.0015387149760499597,0.0563591867685318,0.05994062498211861,0.2242315113544464,0.0009595297742635012,0.061220504343509674
Church outdoor.jpg_6_25_a,6,25,1,0.27725937962532043,0.011469230055809021,0.0025612262543290854,0.03140422701835632,0.04322164133191109,0.2537049651145935,0.0134422043338418,0.36693716049194336
Church outdoor.jpg_6_25_a,6,25,2,0.1322091668844223,0.021235266700387,0.005425488110631704,0.02011297084391117,0.01616332121193409,0.3158915340900421,0.018696250393986702,0.4702660143375397
Church outdoor.jpg_6_25_a,6,25,3,0.34910669922828674,0.013666567392647266,0.004424723796546459,0.05340232327580452,0.01656663417816162,0.28018680214881897,0.00699530029669404,0.27565091848373413
Church outdoor.jpg_6_25_a,6,25,4,0.28055667877197266,0.024014167487621307,0.0075392755679786205,0.08012153953313828,0.011484057642519474,0.18799936771392822,0.017765527591109276,0.390519380569458
Church outdoor.jpg_6_25_b,6,25,0,0.5897164344787598,0.006033540703356266,0.0015387149760499597,0.0563591867685318,0.05994062498211861,0.2242315113544464,0.0009595297742635012,0.061220504343509674
Church outdoor.jpg_6_25_b,6,25,1,0.17843382060527802,0.01648773066699505,0.003545221174135804,0.02045842818915844,0.035206008702516556,0.28199461102485657,0.022342219948768616,0.4415319561958313
Church outdoor.jpg_6_25_b,6,25,2,0.3166640102863312,0.016909172758460045,0.008572191931307316,0.0487128421664238,0.03138964623212814,0.2786119878292084,0.01061958260834217,0.28852060437202454
Church outdoor.jpg_6_25_b,6,25,3,0.6711675524711609,0.0051126922480762005,0.015603967010974884,0.08706115931272507,0.004174657166004181,0.09247869998216629,0.003427729941904545,0.12097346037626266
Church outdoor.jpg_6_25_b,6,25,4,0.6210287809371948,0.0057037896476686,0.0139907356351614,0.10417045652866364,0.009253416210412979,0.1191505566239357,0.0043183667585253716,0.1223839521408081
Church outdoor.jpg_6_25_c,6,25,0,0.5897164344787598,0.006033540703356266,0.0015387149760499597,0.0563591867685318,0.05994062498211861,0.2242315113544464,0.0009595297742635012,0.061220504343509674
